original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
Case.control..0.case..1.control	new	CASE_OR_CONTROL	Case or Control	Case or control	OTHER					1	0	0	varchar			
Cluster.ID	new	CLUSTER_ID	Cluster ID	Cluster ID	OTHER					1	0	0	varchar			
GGI	new	GGI	Gene expression Grade Index score	Gene expression Grade Index score	OTHER					1	0	0	varchar			
age	ATTRIBUTE_TYPE_ID=147	AGE	Patient's age	Patient's current age or age at death	DEMOGRAPHICAL					1	0	0	number	years		
Post.menopausal.status	new	POSTMENOPAUSAL_STATUS	Postmenopausal Status	Indicates whether the patient was postmenopausal before or after chemotherapy	DEMOGRAPHICAL					1	0	1	varchar			
ER.PgR	ATTRIBUTE_TYPE_ID=200	ER_STATUS	ER Status	Estrogen Receptor Status	PATHOLOGY					1	0	1	varchar			
ER.PgR	ATTRIBUTE_TYPE_ID=201	PGR_STATUS	Progestrone receptor status	Progestrone receptor status	PATHOLOGY					1	0	1	varchar			
Adj.neoadj.chemotherapy.received	new	ADJ_OR_NEOADJ_CT	Neoadjuvant Or  Adjuvant chemotherapies received	Neoadjuvant/Adjuvant chemotherapy received by patient or not	CLINICAL					1	0	1	varchar			
grade.	ATTRIBUTE_TYPE_ID=236	TUMOR_STAGE	The extent of the spread of a malignant tumor from its site of origin.	Tumor staging is the process of defining at what point in the natural history of the malignant disease the patient is when the diagnosis is made. The organ and cell type in which the malignancy has developed defines the type of malignancy.	PATHOLOGY					1	0	1	varchar			
Local.Therapy	new	BREAST_CONSERVING_SURGERY	Breast conserving surgery	Patient underwent Breast Conserving Surgery	CLINICAL					1	0	1	varchar			
Local.Therapy	new	RADIOTHERAPY	Radiotherapy	Patient recieved Radiotherapy	CLINICAL					1	0	1	varchar			
Local.Therapy	new	MASTECTOMY	Mastectomy	Patient underwent Mastectomy	CLINICAL					1	0	1	varchar			
node	ATTRIBUTE_TYPE_ID=202	NODAL_STATUS	Lymph Node Status	Lymph Node positivity for tumor cells	PATHOLOGY					1	0	1	varchar			
Treatment	new	LETROZOL_TREATMENT	Letrozol Treatment	The patient was treated with Letrozol	CLINICAL					1	0	1	varchar			
Treatment	ATTRIBUTE_TYPE_ID=197	TAMOXIFEN_TREATMENT	Tamoxifen Treatment	The patient was treated with tamoxifen	CLINICAL					1	0	1	varchar			
t.rfs.months	new	DISEASE_FREE_SURVIVAL_MON	Disease free survival in months	Disease free survival in months	CLINICAL					0	0	0	NUMBER(4,1)	months	0	600		
HER2.status	new	HER2_STATUS	HER2 Status	Human Epidermal growth factor Receptor 2 status	PATHOLOGY					1	0	1	varchar			
size	new	TUMOR_SIZE_2CM	Tumor size less than or equal to or greater than 2 cm	Tumor size less than or equal to or greater than 2 cm	PATHOLOGY					1	0	1	varchar			
