V1	V2
ILMN_1743784	SHMT1
ILMN_1811933	SHMT1
ILMN_1732575	SEC14L1
ILMN_2176755	KIAA0895L
ILMN_1797102	ST6GAL2
ILMN_1795728	LOC651495
ILMN_1779915	LOC652115
ILMN_1884793	
ILMN_1850461	
ILMN_1685002	RCE1
ILMN_2337492	RCE1
ILMN_1663657	LOC650853
ILMN_1910028	
ILMN_1668914	C14orf48
ILMN_1819331	
ILMN_1825085	
ILMN_1826165	
ILMN_1674201	LOC441511
ILMN_2357770	TCEA1
ILMN_1751607	FOSB
ILMN_1899012	
ILMN_1785462	LOC390387
ILMN_1810069	CCNYL1
ILMN_2166524	CCNYL1
ILMN_1718542	LOC643430
ILMN_1819410	
ILMN_2095789	ZNF678
ILMN_1706960	KIAA1217
ILMN_1851729	
ILMN_1858084	
ILMN_1879823	
ILMN_2135527	DEPDC4
ILMN_1773301	LOC650268
ILMN_1700316	LOC440055
ILMN_1682520	LOC645293
ILMN_1655922	SAPS2
ILMN_2311761	AP3S1
ILMN_1711269	ASB5
ILMN_2126055	ASB5
ILMN_1662792	LOC653366
ILMN_1716579	LOC641841
ILMN_1811592	ARHGAP21
ILMN_1688034	COIL
ILMN_1690035	FLYWCH1
ILMN_1678390	LOC653468
ILMN_2215640	TUBA3D
ILMN_2215639	TUBA3D
ILMN_1752213	TMEM60
ILMN_1898216	
ILMN_1695246	KLHDC8B
ILMN_1738589	MGLL
ILMN_1657708	MGLL
ILMN_1681076	LOC441119
ILMN_1820820	
ILMN_1708890	RASSF4
ILMN_1690566	RASSF4
ILMN_1728301	GAD2
ILMN_1860100	
ILMN_1813131	LOC643431
ILMN_1653077	LOC650549
ILMN_1731397	STMN4
ILMN_1759870	LOC653066
ILMN_1744887	RLN2
ILMN_1775646	L3MBTL4
ILMN_2396903	KCNJ15
ILMN_1661939	SGSM1
ILMN_1762207	SGSM1
ILMN_1862169	
ILMN_1812474	TFG
ILMN_1747192	RNF125
ILMN_2260833	CCNB1IP1
ILMN_2347349	CCNB1IP1
ILMN_1654732	OSR2
ILMN_1737715	OSR2
ILMN_1834933	
ILMN_2389528	MTL5
ILMN_1893179	
ILMN_1793950	P704P
ILMN_1785297	RAB19
ILMN_1801776	PSG9
ILMN_1840508	
ILMN_1669281	CLN3
ILMN_1672961	LOC652624
ILMN_1891067	
ILMN_1699520	SLC8A1
ILMN_1758392	ANKS1B
ILMN_1723113	WFDC13
ILMN_1720255	LOC642072
ILMN_1668847	WWP2
ILMN_1777340	DDX6
ILMN_1898596	
ILMN_1853152	
ILMN_1797281	LOC727851
ILMN_1672600	LOC651401
ILMN_1652940	MGC16703
ILMN_1785202	STAT4
ILMN_1696468	LOC644544
ILMN_1851396	
ILMN_1846200	
ILMN_1802702	C10orf91
ILMN_1884041	
ILMN_1859725	
ILMN_1822495	
ILMN_1880280	
ILMN_1697872	C21orf121
ILMN_2403458	SMARCB1
ILMN_1758823	SMARCB1
ILMN_1656882	LOC390712
ILMN_1689004	TNFRSF12A
ILMN_1710280	TUBB1
ILMN_2157843	ZNF829
ILMN_1718259	ZNF829
ILMN_1712605	ZNF829
ILMN_2170625	LOC389286
ILMN_1669826	LUZP5
ILMN_2233279	C19orf31
ILMN_1782782	C19orf31
ILMN_1764754	RAMP1
ILMN_1875735	
ILMN_1719344	LOC730820
ILMN_1685763	WDR45L
ILMN_1688413	SNW1
ILMN_1694502	PRIM1
ILMN_2067708	TFB2M
ILMN_2067709	TFB2M
ILMN_1661078	LOC644844
ILMN_1907648	
ILMN_1803528	LRRC31
ILMN_1703425	LOC642918
ILMN_1662306	RABL3
ILMN_2221769	PRAMEF4
ILMN_2221768	PRAMEF4
ILMN_1828491	
ILMN_1753729	KNG1
ILMN_1900248	
ILMN_1888546	
ILMN_1714586	VGLL3
ILMN_1696087	PHB2
ILMN_1811387	TFF3
ILMN_1665696	EFNA4
ILMN_1683909	TRPC7
ILMN_1717013	LOC647910
ILMN_1900224	
ILMN_1729874	OR7C1
ILMN_1752320	LOC644836
ILMN_1769116	LCN12
ILMN_1740586	PLA2G2A
ILMN_1742197	PIKFYVE
ILMN_1859750	
ILMN_2113049	QPCT
ILMN_1741727	QPCT
ILMN_1670177	LOC647190
ILMN_2045800	C11orf65
ILMN_1883146	
ILMN_1897989	
ILMN_1881003	
ILMN_1664724	LOC652200
ILMN_1686283	CECR1
ILMN_1673104	LOC644571
ILMN_1784040	NAPSA
ILMN_1908253	
ILMN_1681057	C7orf20
ILMN_1704353	IGSF3
ILMN_1716555	MGC42630
ILMN_1823304	
ILMN_1758928	IQSEC3
ILMN_1876466	
ILMN_1860151	
ILMN_2262930	MAPK8IP2
ILMN_2351262	MAPK8IP2
ILMN_1785324	MTHFD1
ILMN_1776850	ITGB1BP3
ILMN_1656812	ITGB1BP3
ILMN_1654185	LOC391347
ILMN_1856691	
ILMN_1747655	CCDC74B
ILMN_1669663	BCR
ILMN_1884638	
ILMN_1884969	
ILMN_1788415	C8orf54
ILMN_1906555	
ILMN_1833359	
ILMN_1849882	
ILMN_1774071	CD177
ILMN_2195892	SPATA4
ILMN_1817255	
ILMN_1823752	
ILMN_1782247	KAT2A
ILMN_1690583	LOC728608
ILMN_1898312	
ILMN_1736872	LOC650107
ILMN_1835812	
ILMN_1791645	SSX4
ILMN_1846278	
ILMN_1718832	SPHAR
ILMN_2068202	MEF2B
ILMN_1651470	MMP17
ILMN_1886727	
ILMN_1820879	
ILMN_1906647	
ILMN_1728799	FBP1
ILMN_1910307	
ILMN_1861982	
ILMN_1656074	LOC653145
ILMN_1779144	CLEC2A
ILMN_1832720	
ILMN_1664601	LOC648763
ILMN_1689518	PECAM1
ILMN_1884068	
ILMN_1661344	LOC647839
ILMN_1729212	GRM8
ILMN_1751069	C9orf11
ILMN_1772369	PDHA1
ILMN_1778756	SULT1A1
ILMN_1656900	SULT1A1
ILMN_1657302	SULT1A1
ILMN_1816550	
ILMN_1656257	LOC732275
ILMN_1760033	LOC643203
ILMN_1822443	
ILMN_2388155	CASP3
ILMN_2215355	LOC400499
ILMN_1728338	LOC400499
ILMN_1789871	LOC197350
ILMN_1804150	HIBADH
ILMN_1827993	
ILMN_1772712	UBE2J2
ILMN_1673158	LOC200261
ILMN_2151281	GABARAPL1
ILMN_1722178	LOC727849
ILMN_1806103	LOC727849
ILMN_1727001	DDX46
ILMN_1657750	CNNM1
ILMN_1866433	
ILMN_1674243	TFRC
ILMN_1752117	TMEM55A
ILMN_1734968	LOC649248
ILMN_1730504	AGPAT4
ILMN_2409720	SLA2
ILMN_1813836	DARS
ILMN_1677955	ENTPD6
ILMN_2091792	ENTPD6
ILMN_2206009	FCAMR
ILMN_2359907	CD68
ILMN_2267914	CD68
ILMN_1742889	WDR77
ILMN_1913769	
ILMN_1869277	
ILMN_1673757	CASP8
ILMN_1768933	LOC650678
ILMN_2404589	KCNRG
ILMN_1883107	
ILMN_1915039	
ILMN_1890854	
ILMN_1772123	ACACA
ILMN_1667641	ACACA
ILMN_1781076	ZNF705D
ILMN_1653562	ZNF705D
ILMN_1742280	ZNF705D
ILMN_1694220	LOC339782
ILMN_1713141	LOC389641
ILMN_1765641	SEMA3A
ILMN_1669167	LOC650323
ILMN_1700627	LOC653800
ILMN_1876534	
ILMN_1706839	TCERG1
ILMN_2289301	TCERG1
ILMN_2398039	TCERG1
ILMN_1884246	
ILMN_2156250	SOCS3
ILMN_1706553	SMG7
ILMN_1690469	SMG7
ILMN_1846799	
ILMN_1872500	
ILMN_1685952	ACSM3
ILMN_1771084	ACSM3
ILMN_1783448	DYNC1LI2
ILMN_1893053	
ILMN_1915653	
ILMN_1746659	LOC653050
ILMN_1776480	HINFP
ILMN_1727101	LUZP2
ILMN_1811346	LOC648615
ILMN_1834635	
ILMN_1869853	
ILMN_1884661	
ILMN_1669227	ADRA1A
ILMN_1715416	NUP188
ILMN_1846825	
ILMN_1726002	LOC650528
ILMN_1794597	ZNF167
ILMN_1733366	MAST1
ILMN_1875766	
ILMN_1704858	LOC645535
ILMN_1733851	DACT3
ILMN_2372011	SCAND1
ILMN_1657274	LOC729744
ILMN_1795744	LOC729744
ILMN_1663065	LOC729744
ILMN_1698552	LOC646764
ILMN_1855167	
ILMN_1834781	
ILMN_1862612	
ILMN_1737247	LOC139116
ILMN_1812256	GANC
ILMN_1667125	RPS6KL1
ILMN_1889155	
ILMN_1906347	
ILMN_1697527	LOC729444
ILMN_1651351	LOC729444
ILMN_1663245	LOC729444
ILMN_1757129	TMEM88
ILMN_1888740	
ILMN_1684377	LOC649030
ILMN_1856976	
ILMN_1666087	LOC651131
ILMN_1686906	TP53INP2
ILMN_1820432	
ILMN_1809676	CACNG6
ILMN_1687202	LOC643012
ILMN_1807972	MICAL1
ILMN_1865059	
ILMN_1655625	GPATCH1
ILMN_1916992	
ILMN_1668432	IMPACT
ILMN_1912885	
ILMN_1797753	ARHGAP28
ILMN_1731178	ARHGAP28
ILMN_2071598	CFHR3
ILMN_1661399	LOC649604
ILMN_1728957	ANKRD5
ILMN_1662964	PRMT3
ILMN_1884064	
ILMN_1666653	BTBD3
ILMN_1668592	STON1
ILMN_1688776	LOC650861
ILMN_2412281	PDLIM5
ILMN_2329773	RAB27A
ILMN_1797875	ALOX5AP
ILMN_1899922	
ILMN_2286570	ADAMTS13
ILMN_1743483	FLJ14186
ILMN_2359500	NCDN
ILMN_1764654	LOC647993
ILMN_2088673	CHR415SYT
ILMN_1765532	RDBP
ILMN_1781691	TRAK2
ILMN_1670318	RIOK1
ILMN_1672443	QDPR
ILMN_1707904	LOC641518
ILMN_1702167	LOC641518
ILMN_2388547	EPSTI1
ILMN_1681591	PTPN1
ILMN_1731941	APOM
ILMN_2172933	LCN12
ILMN_1858409	
ILMN_1837522	
ILMN_1742044	GNAI1
ILMN_2131467	GNAI1
ILMN_1652938	PRRG3
ILMN_1804834	C6orf130
ILMN_1756070	INSC
ILMN_2340643	INSC
ILMN_1826215	
ILMN_1795285	PHF15
ILMN_1816234	
ILMN_1745490	LOC651115
ILMN_1832459	
ILMN_2343677	SOX5
ILMN_1760051	SOX5
ILMN_1655261	ERP27
ILMN_1691487	TRAF2
ILMN_1764153	LOC646036
ILMN_2092943	SSX6
ILMN_1672759	CCDC109A
ILMN_1694100	PRIM2
ILMN_1674924	PRR17
ILMN_1688903	LOC728554
ILMN_1813246	LOC728554
ILMN_1691949	LOC728554
ILMN_1803191	LOC651126
ILMN_1670707	C17orf46
ILMN_1713533	TKTL2
ILMN_1766981	UNC50
ILMN_1880382	
ILMN_1917036	
ILMN_1898159	
ILMN_1684534	EPB41L1
ILMN_1885950	
ILMN_2361695	BAG5
ILMN_1916014	
ILMN_1788728	LGI1
ILMN_2171023	LGI1
ILMN_1730995	AFAP1L2
ILMN_2412807	DCTN1
ILMN_1730696	ZNF167
ILMN_1761409	ZNF167
ILMN_1687403	MRPL40
ILMN_2364901	FSCN2
ILMN_1702817	B3GNTL1
ILMN_1776925	PRSS22
ILMN_1700394	LOC642629
ILMN_2188333	CD69
ILMN_1869088	
ILMN_1863858	
ILMN_1779109	AGPAT1
ILMN_1676413	VSNL1
ILMN_1782501	LOC653219
ILMN_1691228	C20orf197
ILMN_1673376	TBCD
ILMN_1795400	TBCD
ILMN_1733846	XKR9
ILMN_1792383	PFN4
ILMN_2347068	MKNK2
ILMN_2406313	RBCK1
ILMN_1700747	LOC645320
ILMN_1678998	LRRC14
ILMN_1860632	
ILMN_2115553	THAP2
ILMN_1776523	LOC645307
ILMN_1731349	HOXA13
ILMN_1891752	
ILMN_1869796	
ILMN_1854823	
ILMN_2370862	PLA2G4E
ILMN_1774074	RXRB
ILMN_1810166	SERPINA2
ILMN_1771261	SYNC1
ILMN_1672935	HSFY2
ILMN_1688833	HSFY2
ILMN_2291534	HSFY2
ILMN_2291538	HSFY2
ILMN_2401946	HSFY2
ILMN_1815570	HOXA6
ILMN_1729294	RNF130
ILMN_1881001	
ILMN_1868418	
ILMN_1728374	LOC649041
ILMN_2278686	HISPPD2A
ILMN_1773885	DMAP1
ILMN_1737298	MAT2A
ILMN_1651438	ZFPM1
ILMN_1820606	
ILMN_1830952	
ILMN_1709042	RBM4
ILMN_1712455	RBM4
ILMN_1753353	SLBP
ILMN_2055700	SLBP
ILMN_1803183	ARPC4
ILMN_1850850	
ILMN_1830253	
ILMN_1802248	RNF152
ILMN_1859996	
ILMN_1709085	GSG2
ILMN_1786211	HERC1
ILMN_2361862	VLDLR
ILMN_1874205	
ILMN_1709968	LOC652054
ILMN_1733627	NEDD4L
ILMN_1669624	LINS1
ILMN_1696591	RB1
ILMN_1759679	FAM81B
ILMN_1711346	EGFLAM
ILMN_1671808	CSAG3A
ILMN_2043126	CSAG3A
ILMN_1899018	
ILMN_1674640	CXCR6
ILMN_1813400	CBR4
ILMN_2186137	RRAD
ILMN_1683179	RRAD
ILMN_1747207	EYA1
ILMN_1888518	
ILMN_2301955	THAP1
ILMN_1678564	DVL1
ILMN_1657278	DVL1
ILMN_1838657	
ILMN_1756914	LOC645871
ILMN_2166812	KIR2DS1
ILMN_2074880	GTF3C6
ILMN_1691578	GTF3C6
ILMN_1807689	PKNOX2
ILMN_1795170	SLITRK2
ILMN_1801516	GPC1
ILMN_2161166	OR5K4
ILMN_2328986	SREBF1
ILMN_1848727	
ILMN_1834569	
ILMN_1790202	C1orf35
ILMN_2211546	HAO1
ILMN_1674588	HAO1
ILMN_1872693	
ILMN_1855868	
ILMN_2215382	DDX51
ILMN_1913813	
ILMN_1660111	UCHL3
ILMN_1725833	IFLTD1
ILMN_1756455	IL5RA
ILMN_1701911	C5orf20
ILMN_1696748	LOC646667
ILMN_1754558	LRRC10
ILMN_1793655	RANBP2L1
ILMN_1828967	
ILMN_1875250	
ILMN_1731516	GJA3
ILMN_1876266	GJA3
ILMN_1693896	ATP8A2
ILMN_1897741	
ILMN_1866514	
ILMN_1902125	
ILMN_1712390	CUTA
ILMN_1763521	KIAA1751
ILMN_1691550	SNORD26
ILMN_1653324	IL22RA2
ILMN_1805385	IL22RA2
ILMN_1697916	GYLTL1B
ILMN_1792207	MLX
ILMN_1822033	
ILMN_1865361	
ILMN_1825508	
ILMN_1685928	WDR34
ILMN_1683149	LOC388882
ILMN_1763216	LOC651609
ILMN_1723156	PTPRA
ILMN_1747314	MYO5B
ILMN_1869685	
ILMN_1811264	C15orf57
ILMN_1892163	
ILMN_1802482	LOC152084
ILMN_1916822	
ILMN_1775743	BTG1
ILMN_1701386	STRADB
ILMN_1678404	FBXO11
ILMN_1733164	FBXO11
ILMN_1735127	LOC643040
ILMN_1655283	INPP4A
ILMN_1841789	
ILMN_1695763	PDIA5
ILMN_2136133	PABPC1
ILMN_1740559	F7
ILMN_2358265	F7
ILMN_2267025	F7
ILMN_1846171	
ILMN_1664336	LOC643799
ILMN_1910158	
ILMN_1840107	
ILMN_1658978	LOC650155
ILMN_2356672	EIF2B4
ILMN_1710740	C2
ILMN_1764244	LOC255649
ILMN_1756204	RPS6KA4
ILMN_1660882	CHRM4
ILMN_1737036	GGT7
ILMN_1808984	CXorf48
ILMN_1792777	GAS2L1
ILMN_1822974	
ILMN_1668442	C21orf42
ILMN_1763537	LCTL
ILMN_1868100	
ILMN_1841170	
ILMN_1778223	LOC643792
ILMN_1672846	LOC645396
ILMN_1771320	FLJ38717
ILMN_2091375	KRCC1
ILMN_1745620	KRCC1
ILMN_2161746	TRIP10
ILMN_1653826	FGF13
ILMN_1700432	ITPKB
ILMN_2311548	PTRH2
ILMN_1812364	LOC643266
ILMN_1878097	
ILMN_1842420	
ILMN_1801040	SPN
ILMN_1658017	SPN
ILMN_1917094	
ILMN_1870589	
ILMN_1686759	LOC641957
ILMN_1689136	LOC644962
ILMN_2330806	MYO18A
ILMN_1780560	MYO18A
ILMN_2136989	LOC642622
ILMN_1668334	LOC641834
ILMN_1896554	
ILMN_1902080	
ILMN_1713163	SMARCA5
ILMN_2352580	MBD1
ILMN_1866384	
ILMN_1741157	FLJ43980
ILMN_1893398	
ILMN_1681008	CGRRF1
ILMN_1727523	LOC644962
ILMN_1689897	LOC649292
ILMN_1799836	HOXA2
ILMN_2107068	HOXA2
ILMN_1759252	ADD1
ILMN_1903891	
ILMN_2245627	DRGX
ILMN_1672854	LOC653605
ILMN_1866563	
ILMN_1907139	
ILMN_1800270	GABRG2
ILMN_1710758	RNF20
ILMN_1775114	ENTPD3
ILMN_2087941	ENTPD3
ILMN_1676294	BVES
ILMN_1734306	OR52E4
ILMN_1757440	FAM69B
ILMN_1718446	FAM69B
ILMN_1798870	RBPJL
ILMN_1679797	ADARB1
ILMN_1697628	ADARB1
ILMN_1731165	SLC16A8
ILMN_1910998	
ILMN_1903095	
ILMN_1788625	EXOC5
ILMN_2206282	GEN1
ILMN_1680220	GEN1
ILMN_1705737	IMPDH2
ILMN_1814600	DEPDC1B
ILMN_2103685	DEPDC1B
ILMN_1839190	
ILMN_1708632	ZNF771
ILMN_2049766	NFE2L3
ILMN_1882270	
ILMN_1893555	
ILMN_2380850	SDCCAG3
ILMN_1803997	SDCCAG3
ILMN_1698849	CHRNA2
ILMN_2183216	TTRAP
ILMN_1785821	TTRAP
ILMN_2171102	MSL2
ILMN_1722634	NUCB1
ILMN_1759989	LOC400696
ILMN_1787815	TRIB3
ILMN_2342851	ARHGAP8
ILMN_1777031	PKLR
ILMN_1725172	PKLR
ILMN_1871423	
ILMN_1703487	LMO4
ILMN_2117171	LMO4
ILMN_1899915	
ILMN_1869109	
ILMN_1697810	TSPAN11
ILMN_2341524	TSPAN11
ILMN_1695187	GYPE
ILMN_1812163	GYPE
ILMN_1862566	
ILMN_1899453	
ILMN_1699790	LOC652022
ILMN_1713369	RPL13A
ILMN_1698735	HSP90AB2P
ILMN_1701603	ALPL
ILMN_1713249	PHF19
ILMN_1707218	LOC643369
ILMN_1767344	LOC340096
ILMN_2258471	SLC30A5
ILMN_1709728	SLC30A5
ILMN_1664153	SLC30A5
ILMN_1801842	PTX3
ILMN_1902912	
ILMN_2413527	VCL
ILMN_1878999	
ILMN_1880796	
ILMN_1817199	
ILMN_1894480	
ILMN_1819597	
ILMN_1748150	SAMD7
ILMN_1724427	OR6N2
ILMN_1866549	
ILMN_1878613	
ILMN_1855055	
ILMN_1827267	
ILMN_1658847	MGC61598
ILMN_1803728	SLC35E4
ILMN_1801435	LOC649596
ILMN_1893047	
ILMN_1675830	LOC644950
ILMN_1898136	
ILMN_1679342	LOC645342
ILMN_1803825	CXCL12
ILMN_1689111	CXCL12
ILMN_2242309	CACNG5
ILMN_1749402	CACNG5
ILMN_1655713	OR2M7
ILMN_1691127	VTN
ILMN_1786545	LOC642370
ILMN_1697115	FLJ12355
ILMN_1829623	
ILMN_1754272	GINS3
ILMN_1889804	
ILMN_1785058	MGC15885
ILMN_1865055	
ILMN_1670716	LOC642355
ILMN_1858756	
ILMN_1805833	LOC646508
ILMN_1884022	
ILMN_1802834	LOC649999
ILMN_1697493	WDFY3
ILMN_1691395	ZBTB11
ILMN_1914590	
ILMN_1712513	DDX11
ILMN_1728564	LOC643090
ILMN_1712325	LOC642509
ILMN_1660978	OR11G2
ILMN_1662619	TFPI
ILMN_1707124	TFPI
ILMN_1820772	
ILMN_1884665	
ILMN_1677959	LOC642397
ILMN_1872276	MMAB
ILMN_2131926	ZNF718
ILMN_2376313	MSMB
ILMN_1751146	LOC642245
ILMN_1809964	OR10J1
ILMN_1653678	DTX4
ILMN_1679482	TUBA3C
ILMN_1860678	
ILMN_1754009	KRTAP10-12
ILMN_1848916	
ILMN_1687265	NXF5
ILMN_1659991	SLC34A1
ILMN_1916036	
ILMN_1854730	
ILMN_2150187	KCTD18
ILMN_1798690	ADAMTSL3
ILMN_1677636	COMP
ILMN_1731804	LOC606724
ILMN_2125747	LOC606724
ILMN_1655529	LOC652803
ILMN_1751045	C20orf86
ILMN_2389155	UGP2
ILMN_1654340	UGP2
ILMN_2284181	UGP2
ILMN_1671969	UGP2
ILMN_2389151	UGP2
ILMN_1692199	RNF103
ILMN_2131493	VISA
ILMN_1693519	PRKG1
ILMN_1654653	KLC1
ILMN_1726901	KLC1
ILMN_1718253	TAS2R3
ILMN_1867546	
ILMN_1715715	CEBPA
ILMN_2278335	AKR1B15
ILMN_1775479	LOC650028
ILMN_1658206	C1orf102
ILMN_1677840	CNOT1
ILMN_1682501	CNOT1
ILMN_1911038	
ILMN_1792660	CAMSAP1L1
ILMN_1689257	MAEA
ILMN_1901555	
ILMN_1803801	LRRC38
ILMN_2344373	MVP
ILMN_1765945	DKFZp686J0529
ILMN_1903440	
ILMN_1670901	COX10
ILMN_1651544	HDAC8
ILMN_1785345	GPR84
ILMN_1851512	
ILMN_1830467	
ILMN_1893854	
ILMN_1783656	ODF4
ILMN_1774813	GPR173
ILMN_1676447	GPR173
ILMN_2298028	GPR173
ILMN_1911361	
ILMN_1684439	MLF1
ILMN_1706536	LOC440871
ILMN_1868866	
ILMN_1776846	OR52B4
ILMN_1738607	LOC646350
ILMN_1722527	LECT1
ILMN_1697373	LOC388910
ILMN_1796574	BEND4
ILMN_1740094	BEND4
ILMN_1850973	
ILMN_1657147	LOC390282
ILMN_1916186	
ILMN_1740772	APBB3
ILMN_2139125	LRFN5
ILMN_1894355	
ILMN_1752380	ZNF565
ILMN_1773958	LOC642450
ILMN_1817220	
ILMN_1662962	COLEC10
ILMN_1691789	SMNDC1
ILMN_1736894	HNRNPA1L2
