TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
NODAL_STATUS	NEGATIVE	NEGATIVE		Lymph Node negative for tumor cells
NODAL_STATUS	POSITIVE	POSITIVE		Lymph Nodes positive for tumor cells
ER_STATUS	POSITIVE	POSITIVE		Estrogen Receptor positive
ER_STATUS	NEGATIVE	NEGATIVE		Estrogen Receptor negative
PGR_STATUS	NEGATIVE	NEGATIVE		Progesteron Receptor negative
PGR_STATUS	POSITIVE	POSITIVE		Progesteron Receptor positive
NODAL_STATUS	NEGATIVE	NEGATIVE		Nodal status negative
NODAL_STATUS	POSITIVE	POSITIVE		Nodal status positive
TAMOXIFEN_TREATMENT	YES	YES		The patient was treated with Tamoxifen
TAMOXIFEN_TREATMENT	NO	NO		The patient was no treated with Tamoxifen
EVENT_DFS	1	EVENT		1 stands for EVENT indicating recurrence of disease  
EVENT_DFS	0	CENSORING		0 stands for CENSORING meaning no recurrence was recorded
EVENT_DMFS	0	CENSORING		0 stands for CENSORING indicating no record of distant metastasis
EVENT_DMFS	1	EVENT		1 stands for EVENT Indicating a distant metastatis 
CHIP_TYPE	HG-U133A	HG-U133A		Affymetrix Human Genome U133A was used 
CHIP_TYPE	HG-U133B	HG-U133B		Affymetrix Human Genome U133B was used 
CHIP_TYPE	HG-U133 Plus2	HG-U133 Plus2		Affymetrix Human Genome U133 Plus2 was used 
ELSTON-ELLIS_GRADE	1	1 - Low grade		Elston-Ellis grade 1 - low grade
ELSTON-ELLIS_GRADE	2	2 - Intermediate grade		Elston-Ellis grade 2 - intermediate grade
ELSTON-ELLIS_GRADE	3	3 - High grade		Elston-Ellis grade 3 - high grade
