TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
GENDER	MALE	MALE	C46109	An individual who reports belonging to the cultural gender role distinction of male. 
GENDER	FEMALE	FEMALE	C46110	An individual who reports belonging to the cultural gender role distinction of female.
SAMPLE_LOCATION	LEFT_FLEXURE	Left flexure		Left flexure
SAMPLE_LOCATION	SIGMOID_COLON	sigmoid colon		sigmoid colon
SAMPLE_LOCATION	TRANSVERSE_COLON	transverse colon		transverse colon
SAMPLE_LOCATION	ASCENDING_COLON	ascending colon		ascending colon
SAMPLE_LOCATION	ILEOCAECAL	ileocaecal		ileocaecal
SAMPLE_LOCATION	RECTUM	rectum		rectum
SAMPLE_LOCATION	COLON_DESC	Descending Colon		Descending Colon
SAMPLE_LOCATION	LIENIC_FLEXURE	Lienic Flexure		Lienic Flexure
SAMPLE_LOCATION	HEPATIC_FLEXURE	Hepatic Flexure		Hepatic Flexure
SAMPLE_LOCATION	SIGMA	Sigma		Sigma
SAMPLE_LOCATION	COECUM	Coecum		Coecum
SAMPLE_LOCATION	TOTAL_COLON	Total Colon		Total Colon
SAMPLE_LOCATION	SIGMA_COLON_DESC	Sigma and Descending Colon		Sigma and Descending Colon
SAMPLE_LOCATION	COECUM_ RECTUM	Coecum and Rectum		Coecum and Rectum
SAMPLE_LOCATION	SIGMA_RECTUM	Sigma and Rectum		Sigma and Rectum
DYSPLASIA	LOW-GRADE	Low grade		Low grade
DYSPLASIA	HIGH-GRADE	High grade		High grade
DYSPLASIA	MILD	Mild 		Mild 
DYSPLASIA	MILD_MODERATE	Mild to Moderate		Mild to Moderate
HIGHEST_DEG_DYSPLASIA	HIGH-GRADE	High grade		High grade
HIGHEST_DEG_DYSPLASIA	T1	Superficial Submucosal Invasion		Superficial Submucosal Invasion
HIGHEST_DEG_DYSPLASIA	LOW-GRADE	Low grade		Low grade
SAMPLE_TYPE	TUMOR	Tumor		The sample is from Tumor Tissue
SAMPLE_TYPE	NORMAL	Normal		The sample is from Normal Tissue
SAMPLE_TYPE	CONTROL	Control		Control
SAMPLE_TYPE	NON_TUMOR_CIRRHOTIC	Non tumor Cirrhotic		Non tumor Cirrhotic
SAMPLE_TYPE	LOW_GRADE_DYSPLASTIC_NODULE	Low grade Dysplastic Nodule		Low grade Dysplastic Nodule
SAMPLE_TYPE	HIGH_GRADE_DYSPLASTIC_NODULE	High grade Dysplastic Nodule		High grade Dysplastic Nodule
SAMPLE_TYPE	VERY_EARLY_HCC	Very Early HCC		Very Early HCC
SAMPLE_TYPE	EARLY_HCC	Early HCC		Early HCC
SAMPLE_TYPE	ADVANCED_HCC	Advanced HCC		Advanced HCC
SAMPLE_TYPE	VERY_ADVANCED_HCC	Very Advanced HCC		Very Advanced HCC
SAMPLE_TYPE	ADENOCARCINOMA	Adenocarcinoma		adenocarcinoma
SAMPLE_TYPE	ADENOMA_TUBULOVILLOUS	Adenoma Tubulovillous		adenoma tubulovillous
SAMPLE_TYPE	ADENOMA_VILLOUS	Aadenoma Villous		adenoma villous
SAMPLE_TYPE	SEVERE_ACTIVE_CROHNS	Severe Active Crohn's disease		severe active crohns
SAMPLE_TYPE	SEV_ACT_ULCERATIVE_COLITIS	Severe Active Ulcerative Colitis		severe active ulcerative colitis
SAMPLE_TYPE	SEV_ACT_ULCERATIVE_PANCOLITIS	Severe Active Ulcerative Pancolitis		severe active ulcerative pancolitis
SAMPLE_TYPE	ADENOMA_TUBULAR	Adenoma Tubular		Adenoma Tubular
RELATIONSHIP	SISTER	Sister		Sister of the patient
RELATIONSHIP	FATHER	Father		Father of the patient
RELATIONSHIP	BROTHER	Brother		Brother of the patient
RELATIONSHIP	MOTHER	Mother		Mother of the patient
RELATIONSHIP	UNCLE_FATHER	Uncle on the father's side		Uncle on the father's side of the patient
TIMEPOINT	1	1		Timepoint 1
TIMEPOINT	2	2		Timepoint 2
TIMEPOINT	3	3		Timepoint 3
TIMEPOINT	4	4		Timepoint 4
TIMEPOINT	5	5		Timepoint 5
TIMEPOINT	6	6		Timepoint 6
TIMEPOINT	7	7		Timepoint 7
TIMEPOINT	8	8		Timepoint 8
TIMEPOINT	9	9		Timepoint 9
TIMEPOINT	10	10		Timepoint 10
TIMEPOINT	11	11		Timepoint 11
TIMEPOINT	12	12		Timepoint 12
TIMEPOINT	13	13		Timepoint 13
SOURCE	CLINICAL	Clinical 		Clinical data
